Name,Father Name,Roll Number,Mathematics*,Science*,English*,Urdu*,Islamiat*,Pakistan Studies*,Computer Science*,Physics*,Chemistry*,Biology*,Geography*,History*,Economics*,Business Studies*,Accounting*,Art*,Music*,Physical Education*,Sindhi*,Arabic*,Total Marks,Obtain Marks,Percentage,Status,Grade,Academic Year
Matthew Wilson,M. Charles,SC-0445,96,19,-,75,96,97,66,-,43,-,-,-,-,32,37,-,-,41,61,-,1100,552,50.18,PASS,D,2024-2025
Usman Johnson,Mr. Praveen,2024-0446,-,-,29,-,29,44,37,-,-,61,82,80,82,88,25,-,-,56,52,92,1300,563,43.31,PASS,E,2024-2025
Thomas Brown,Daniel,24-0447,91,-,43,-,-,60,76,80,-,32,60,-,-,-,-,69,97,93,9,25,1200,616,51.33,PASS,D,2024-2025
Laura Johnson,M. William,24-0448,71,-,68,-,91,86,14,-,63,88,-,8,83,80,70,69,58,87,15,-,1500,770,51.33,PASS,D,2024-2025
Ahmed Huang,Robert,ARTS-0449,59,40,86,-,55,56,48,-,64,-,17,-,82,23,96,40,-,73,75,-,1400,626,44.71,PASS,E,2024-2025
Elizabeth Gupta,M. Arun,STU-0450,-,-,-,-,43,89,74,-,-,-,41,85,-,45,88,99,66,37,22,79,1200,620,51.67,PASS,D,2024-2025
Maryam Johnson,M. Ravi,SC-0451,68,37,-,46,71,91,56,57,100,-,35,74,17,64,26,-,25,-,56,-,1500,751,50.07,PASS,D,2024-2025
Zainab Ahmed,Vikram,24-0452,40,44,36,-,67,87,-,22,19,44,80,98,19,14,23,74,49,-,81,-,1600,809,50.56,PASS,D,2024-2025
Rabia Wu,Mr. Robert,STU-0453,59,10,4,89,-,65,77,-,-,100,5,-,16,93,-,-,-,60,57,33,1300,757,58.23,PASS,D,2024-2025
Jessica Patel,M. Daniel,SC-0454,-,-,2,30,44,27,10,82,25,1,22,5,8,18,-,33,86,29,89,100,1700,841,49.47,PASS,E,2024-2025
Daniel Ali,M. Michael,COM-0455,70,1,-,-,15,-,42,-,-,82,92,83,-,30,75,81,7,100,-,-,1200,466,38.83,PASS,E,2024-2025
Jessica Malik,M. Vikram,24-0456,82,37,-,52,29,92,75,-,100,-,42,61,44,74,19,-,78,-,14,23,1500,764,50.93,PASS,D,2024-2025
Maryam Ali,Hassan,SC-0457,-,97,-,42,64,-,-,87,-,16,67,0,71,15,39,20,-,97,82,-,1300,753,57.92,PASS,D,2024-2025
Elizabeth Rao,Vikram,SC-0458,-,-,61,16,-,8,93,-,71,-,2,-,-,14,-,-,1,19,-,64,1000,693,69.30,PASS,C,2024-2025
Mohammad Raza,Mr. Hussain,COM-0459,-,-,-,75,-,-,23,45,-,-,47,-,-,70,94,44,3,70,87,51,1100,535,48.64,PASS,E,2024-2025
Mohammad Garcia,William,STU-0460,50,-,78,66,76,-,42,23,-,1,-,-,-,-,-,-,0,100,4,54,1100,505,45.91,PASS,E,2024-2025
Hafsa Verma,M. Manoj,SC-0461,77,48,60,42,25,46,90,34,-,-,41,59,58,9,50,91,80,73,34,23,1800,839,46.61,PASS,E,2024-2025
Stephanie Smith,M. Hussain,SC-0462,-,-,11,94,55,35,100,51,86,98,84,72,-,61,85,38,62,54,-,32,1600,741,46.31,PASS,E,2024-2025
Maryam Chen,Anil,ARTS-0463,-,-,81,-,25,-,1,63,90,-,10,-,46,92,-,19,87,4,52,-,1200,639,53.25,PASS,D,2024-2025
Stephanie Wu,M. Raj,2024-0464,13,32,28,11,18,83,84,-,2,70,-,7,17,63,-,78,-,68,-,-,1400,679,48.50,PASS,E,2024-2025
Maryam Miller,M. Michael,2024-0465,37,93,-,26,-,92,-,6,-,80,3,84,52,92,16,94,19,74,36,25,1600,837,52.31,PASS,D,2024-2025
Fatima Davis,Vikram,COM-0466,63,54,75,-,91,41,6,-,64,76,30,-,84,-,99,-,7,-,88,66,1400,885,63.21,PASS,C,2024-2025
Maryam Johnson,Mr. Nadeem,SC-0467,-,60,81,94,86,8,59,-,100,-,15,16,98,7,81,2,0,24,12,83,1700,905,53.24,PASS,D,2024-2025
Sarah Wu,Mr. Sunil,2024-0468,92,-,46,93,58,64,22,41,57,-,0,96,46,65,71,5,-,-,73,82,1600,785,49.06,PASS,E,2024-2025
Nicole Zhang,Joseph,SC-0469,72,-,89,6,14,37,69,91,7,46,90,76,87,18,6,50,39,90,5,56,1900,875,46.05,PASS,E,2024-2025
Fatima Zhou,M. David,SCI-0470,59,0,43,34,62,-,60,-,-,24,-,89,0,42,37,4,-,81,35,22,1500,788,52.53,PASS,D,2024-2025
Michael Malik,Mohammad,COM-0471,-,46,9,58,-,51,67,54,-,71,-,-,98,54,32,-,-,-,65,3,1200,609,50.75,PASS,D,2024-2025
Laura Mirza,Manoj,STU-0472,-,-,11,26,76,56,75,70,1,-,-,-,-,73,17,11,5,5,-,83,1300,573,44.08,PASS,E,2024-2025
Sadia Mirza,James,2024-0473,22,29,-,8,44,55,99,94,-,3,-,25,29,12,-,-,34,-,26,4,1400,759,54.21,PASS,D,2024-2025
Sadia Rodriguez,Mr. Michael,ARTS-0474,30,16,-,99,15,-,75,-,-,84,94,90,-,82,-,-,51,37,28,92,1300,687,52.85,PASS,D,2024-2025
Bilal Patel,Mr. Manoj,STU-0475,58,-,20,-,9,28,-,-,-,17,-,92,66,31,20,26,64,42,92,-,1300,504,38.77,PASS,E,2024-2025
Zainab Li,Mr. Thomas,STU-0476,68,89,54,-,80,34,52,68,-,64,38,35,97,4,39,89,66,83,8,76,1800,876,48.67,PASS,E,2024-2025
Michelle Wilson,M. Nadeem,ARTS-0477,7,-,-,65,5,70,100,44,73,-,6,92,76,-,-,20,33,82,99,7,1500,552,36.80,PASS,E,2024-2025
Sadia Hussain,Charles,STU-0478,99,55,41,10,46,69,17,60,53,0,37,25,52,-,47,90,35,7,88,33,1900,1026,54.00,PASS,D,2024-2025
Amanda Chen,Usman,SC-0479,53,94,76,53,89,0,98,3,30,0,22,15,67,91,81,12,99,53,57,59,2000,1005,50.25,PASS,D,2024-2025
Michelle Miller,Mr. Suresh,24-0480,13,3,96,-,-,35,94,95,-,71,-,51,23,19,-,33,55,-,95,41,1400,756,54.00,PASS,D,2024-2025
Robert Malik,Mr. Charles,24-0481,29,97,-,-,1,-,37,44,52,50,55,88,-,-,40,56,-,64,68,94,1400,691,49.36,PASS,E,2024-2025
Nicole Singh,Abdul,COM-0482,78,42,3,39,26,-,-,64,25,-,39,4,10,43,-,-,92,86,72,88,1500,1074,71.60,PASS,B,2024-2025
Hussain Zhang,Mr. William,STU-0483,-,96,-,-,-,95,29,4,-,-,-,67,10,36,-,60,30,-,61,55,1100,504,45.82,PASS,E,2024-2025
Hussain Kumar,Daniel,2024-0484,100,35,1,4,40,44,18,0,77,45,-,-,67,60,95,73,3,3,-,39,1700,942,55.41,PASS,D,2024-2025
Elizabeth Jones,Mr. Richard,2024-0485,78,75,23,54,86,74,-,19,81,11,9,7,-,5,5,34,73,6,83,85,1800,883,49.06,PASS,E,2024-2025
Hassan Huang,Mr. Thomas,SC-0486,54,88,70,-,10,-,57,56,-,-,-,-,28,35,46,99,0,-,-,-,1100,552,50.18,PASS,D,2024-2025
Mohammad Gupta,Mr. William,SC-0487,73,-,47,11,91,22,86,23,25,2,49,49,47,-,-,81,94,87,5,14,1700,678,39.88,PASS,E,2024-2025
Yusuf Reddy,Michael,SCI-0488,-,64,38,61,-,21,-,66,-,-,-,95,32,-,2,93,0,-,-,49,1100,652,59.27,PASS,D,2024-2025
Hira Sharma,Mr. Suresh,ARTS-0489,-,10,55,49,-,-,56,83,27,31,17,100,31,-,77,83,93,98,34,68,1600,613,38.31,PASS,E,2024-2025
Charles Rao,M. Michael,ARTS-0490,98,84,-,13,90,3,-,35,-,43,40,65,71,-,39,60,59,-,-,23,1400,617,44.07,PASS,E,2024-2025
Robert Mirza,M. Raj,SC-0491,100,12,26,91,15,29,12,-,66,37,0,37,33,33,-,83,96,48,-,10,1700,687,40.41,PASS,E,2024-2025
Ahmed Sharma,Usman,ARTS-0492,-,42,45,13,44,56,74,83,-,12,75,44,-,55,-,50,34,34,-,48,1500,568,37.87,PASS,E,2024-2025
Usman Wilson,Mr. Ahmed,STU-0493,-,37,-,-,90,-,60,-,-,-,-,71,94,50,98,76,11,-,71,36,1100,512,46.55,PASS,E,2024-2025
Matthew Kumar,Mr. Kamran,SCI-0494,12,-,47,91,30,-,53,71,21,60,-,-,35,96,21,-,-,88,-,-,1200,573,47.75,PASS,E,2024-2025
Matthew Baig,Mr. Ahmed,ARTS-0495,-,-,71,46,25,15,13,37,22,-,4,82,31,-,93,-,-,41,53,-,1300,536,41.23,PASS,E,2024-2025
Hassan Malik,Mr. Hussain,24-0496,65,92,-,-,37,-,-,7,30,76,-,14,99,-,-,90,-,48,-,49,1100,554,50.36,PASS,D,2024-2025
Daniel Johnson,Mr. Nadeem,STU-0497,-,-,92,17,31,11,-,-,-,7,85,23,13,-,19,99,77,79,-,47,1300,562,43.23,PASS,E,2024-2025
Omar Chen,Mr. Nadeem,2024-0498,0,96,16,2,-,45,-,-,73,-,65,23,46,43,-,-,28,-,65,54,1300,704,54.15,PASS,D,2024-2025
Robert Verma,James,2024-0499,87,-,-,16,81,43,36,-,53,87,79,20,66,63,39,41,-,100,57,15,1600,986,61.63,PASS,C,2024-2025
William Jain,Nadeem,COM-0500,-,59,60,-,49,-,-,13,38,11,6,21,77,46,65,-,-,70,46,46,1400,842,60.14,PASS,C,2024-2025
Fatima Qureshi,Mr. Hassan,STU-0501,9,-,-,40,-,-,-,48,-,-,89,39,65,49,26,43,15,98,-,0,1200,481,40.08,PASS,E,2024-2025
Michael Smith,Mr. Michael,STU-0502,21,-,29,94,65,42,1,-,62,23,53,92,-,43,-,49,86,89,79,42,1600,746,46.63,PASS,E,2024-2025
Daniel Jain,Mr. Robert,24-0503,10,71,50,22,40,-,-,-,-,-,68,37,-,21,71,-,78,-,75,10,1200,605,50.42,PASS,D,2024-2025
Rabia Patel,M. David,SCI-0504,24,48,15,30,-,96,-,20,3,5,82,1,-,44,47,46,-,20,100,23,1600,880,55.00,PASS,D,2024-2025
Yusuf Jones,Ali,SC-0505,46,21,21,26,-,-,2,62,41,-,16,24,67,-,36,73,84,82,5,2,1600,922,57.63,PASS,D,2024-2025
Omar Zhao,Kamran,ARTS-0506,60,-,6,88,-,78,98,9,60,27,61,49,25,-,66,70,-,79,44,87,1600,853,53.31,PASS,D,2024-2025
Charles Kumar,Mr. Joseph,2024-0507,-,42,17,-,89,74,100,-,3,33,88,92,53,66,-,95,77,-,86,84,1500,848,56.53,PASS,D,2024-2025
Michelle Jones,Ali,ARTS-0508,-,29,19,1,87,68,19,86,-,55,-,32,73,-,65,17,57,14,42,77,1600,854,53.37,PASS,D,2024-2025
Charles Shah,M. Daniel,SC-0509,38,-,-,6,30,100,75,-,65,-,-,75,62,94,17,27,86,12,22,98,1500,787,52.47,PASS,D,2024-2025
Matthew Baig,M. Arun,COM-0510,20,-,-,-,19,59,12,51,-,15,55,91,43,-,71,-,-,-,89,60,1200,695,57.92,PASS,D,2024-2025
Yusuf Garcia,Mr. Praveen,SCI-0511,0,6,51,34,93,-,23,-,-,-,-,58,-,74,28,-,-,28,-,-,1000,532,53.20,PASS,D,2024-2025
Emily Mehta,M. Hassan,ARTS-0512,40,38,58,9,91,18,50,89,84,63,68,61,85,34,79,31,27,72,17,93,2000,817,40.85,PASS,E,2024-2025
Hira Brown,Mr. Hassan,24-0513,-,44,-,44,-,46,67,-,67,-,48,-,-,-,-,-,19,82,70,100,1000,600,60.00,PASS,C,2024-2025
Laura Patel,M. Michael,24-0514,-,-,82,67,63,9,-,-,51,84,-,-,83,94,14,-,37,-,17,-,1100,478,43.45,PASS,E,2024-2025
Michael Huang,M. Robert,COM-0515,-,34,35,60,88,6,-,21,56,77,-,76,32,7,-,61,91,66,83,87,1600,967,60.44,PASS,C,2024-2025
Rabia Zhao,Omar,2024-0516,-,52,65,14,-,59,-,25,29,87,-,51,-,-,89,-,80,66,4,64,1300,679,52.23,PASS,D,2024-2025
Hussain Li,Mohammad,2024-0517,12,-,35,68,-,25,95,78,65,-,-,72,46,29,52,-,6,15,64,100,1500,922,61.47,PASS,C,2024-2025
Maryam Davis,Mr. William,2024-0518,84,26,-,91,46,78,75,81,-,27,-,15,62,47,95,65,16,61,61,82,1700,747,43.94,PASS,E,2024-2025
Mohammad Reddy,Mr. Omar,SC-0519,-,-,55,-,-,-,-,-,30,79,-,54,39,-,-,5,22,37,53,34,1000,525,52.50,PASS,D,2024-2025
Sadia Williams,Mr. Charles,COM-0520,66,100,-,72,65,2,29,-,62,-,-,1,17,97,-,51,60,38,25,94,1500,915,61.00,PASS,C,2024-2025
Aisha Zhang,M. Daniel,SC-0521,-,54,33,29,65,-,-,62,-,36,98,87,-,12,-,-,30,32,-,78,1200,561,46.75,PASS,E,2024-2025
Charles Zhao,Ravi,SC-0522,55,67,17,13,34,8,73,-,-,51,57,-,49,25,28,87,57,76,0,92,1700,953,56.06,PASS,D,2024-2025
Hira Garcia,M. Ali,COM-0523,-,78,58,48,-,74,4,36,7,22,17,43,-,-,81,77,74,24,91,72,1600,614,38.38,PASS,E,2024-2025
Matthew Jain,Mr. Nadeem,COM-0524,-,51,-,1,50,45,77,-,77,-,51,9,22,56,67,45,-,80,54,-,1400,684,48.86,PASS,E,2024-2025
Nicole Mirza,Mr. Praveen,COM-0525,-,29,68,39,-,66,69,46,57,53,-,9,55,-,54,9,-,64,-,57,1400,665,47.50,PASS,E,2024-2025
Mohammad Malik,Mr. Charles,STU-0526,-,64,14,86,83,1,32,85,96,-,-,63,39,47,85,46,87,81,2,10,1700,901,53.00,PASS,D,2024-2025
Bilal Zhao,M. Manoj,2024-0527,55,18,-,75,-,-,10,69,88,67,38,-,71,-,63,73,80,80,72,30,1500,704,46.93,PASS,E,2024-2025
Hira Ali,David,24-0528,7,-,-,-,87,18,79,97,30,68,95,-,38,37,53,54,97,14,76,43,1600,881,55.06,PASS,D,2024-2025
Jessica Yang,Hassan,COM-0529,50,79,-,54,80,-,19,69,-,0,1,5,-,-,29,-,7,10,-,54,1300,843,64.85,PASS,C,2024-2025
Mohammad Mehta,Ravi,2024-0530,5,31,19,66,36,94,-,-,78,43,96,56,31,53,-,-,-,84,-,82,1400,701,50.07,PASS,D,2024-2025
Laura Jones,Mr. Kamran,2024-0531,-,70,-,80,27,36,-,66,-,19,-,-,3,68,61,85,44,73,69,78,1400,660,47.14,PASS,E,2024-2025
Hassan Wang,M. Raj,SCI-0532,-,90,-,84,-,80,41,69,27,88,-,-,-,63,19,56,-,-,100,6,1200,508,42.33,PASS,E,2024-2025
Zainab Ali,M. William,SCI-0533,89,64,77,84,48,-,-,-,-,86,63,80,-,14,-,-,-,36,99,46,1200,490,40.83,PASS,E,2024-2025
Jennifer Kumar,Mr. Anil,24-0534,51,78,-,92,61,9,82,-,24,45,95,6,39,-,49,-,91,-,-,-,1300,686,52.77,PASS,D,2024-2025
Aisha Jones,Mr. Mohammad,STU-0535,8,36,-,32,66,73,79,20,-,-,-,5,49,-,8,74,97,5,13,8,1500,656,43.73,PASS,E,2024-2025
Michael Yang,M. William,COM-0536,33,-,-,78,63,-,86,30,36,8,23,96,-,95,31,-,81,25,54,-,1400,637,45.50,PASS,E,2024-2025
William Rodriguez,Mr. Ravi,COM-0537,55,86,-,0,36,51,15,-,29,36,70,90,14,83,-,94,35,96,1,13,1700,887,52.18,PASS,D,2024-2025
Robert Li,Raj,SC-0538,50,34,56,27,89,-,51,93,53,-,15,13,-,76,30,67,12,66,-,-,1500,593,39.53,PASS,E,2024-2025
Omar Zhou,M. James,24-0539,86,47,79,52,-,-,96,77,89,-,100,8,60,88,80,2,-,-,88,-,1400,772,55.14,PASS,D,2024-2025
Hira Jain,Richard,2024-0540,65,98,18,41,43,-,-,84,41,10,16,84,48,-,63,22,-,26,35,51,1600,776,48.50,PASS,E,2024-2025
Elizabeth Mehta,David,2024-0541,43,-,84,24,-,45,-,-,-,75,-,-,-,95,-,22,20,20,42,59,1100,494,44.91,PASS,E,2024-2025
Matthew Malik,Thomas,SC-0542,0,82,65,85,39,16,-,35,13,-,21,28,-,35,-,-,-,-,52,7,1300,524,40.31,PASS,E,2024-2025
Mohammad Davis,M. Kamran,SC-0543,78,94,30,32,1,38,-,-,23,-,53,23,25,63,68,59,19,-,44,9,1600,823,51.44,PASS,D,2024-2025
Hafsa Rodriguez,Mr. Abdul,24-0544,-,88,27,-,87,71,-,8,6,-,49,95,16,-,44,18,-,42,41,17,1400,603,43.07,PASS,E,2024-2025
Laura Kumar,M. Ahmed,SC-0545,90,-,62,93,86,-,47,23,94,22,-,97,37,-,2,-,99,-,26,-,1300,505,38.85,PASS,E,2024-2025
Omar Miller,Mr. Abdul,SCI-0546,31,-,55,22,63,-,8,6,57,94,-,-,1,90,-,-,52,75,-,57,1300,548,42.15,PASS,E,2024-2025
David Zhou,Hussain,ARTS-0547,81,68,32,87,37,-,30,45,-,-,-,51,62,62,58,-,88,-,2,24,1400,685,48.93,PASS,E,2024-2025
Jessica Verma,Mr. Kamran,ARTS-0548,32,95,-,-,58,7,94,3,19,72,35,25,65,89,69,48,23,-,75,1,1700,923,54.29,PASS,D,2024-2025
Jessica Ahmed,M. Mohammad,STU-0549,12,-,24,11,6,32,70,12,-,-,36,-,71,7,-,56,91,37,71,53,1500,729,48.60,PASS,E,2024-2025
Hussain Williams,Mr. David,ARTS-0550,81,0,83,11,2,8,83,54,13,7,64,14,97,37,17,-,-,34,-,62,1700,851,50.06,PASS,D,2024-2025
Amanda Garcia,M. Anil,SC-0551,-,25,29,13,92,42,4,-,28,-,59,54,-,29,26,-,91,50,99,31,1500,838,55.87,PASS,D,2024-2025
Thomas Yang,M. Kamran,24-0552,-,2,88,3,20,76,14,99,-,52,-,-,-,6,52,58,-,89,65,63,1400,619,44.21,PASS,E,2024-2025
Daniel Mehta,M. William,2024-0553,21,-,-,69,33,99,64,60,77,-,50,64,66,24,89,87,95,3,0,-,1600,856,53.50,PASS,D,2024-2025
Jennifer Huang,M. Nadeem,24-0554,9,25,53,-,11,52,8,-,-,36,86,14,-,5,53,38,1,90,76,98,1600,944,59.00,PASS,D,2024-2025
Aisha Shah,Mr. Omar,STU-0555,-,33,91,-,35,52,49,92,34,-,-,-,88,22,54,44,88,-,88,11,1400,661,47.21,PASS,E,2024-2025
Daniel Reddy,Nadeem,ARTS-0556,32,-,72,54,-,45,79,-,53,89,-,88,-,-,85,9,95,17,-,-,1200,542,45.17,PASS,E,2024-2025
Charles Jain,Mr. Robert,STU-0557,42,76,53,91,56,-,38,8,-,15,-,-,23,57,64,6,82,-,-,27,1400,707,50.50,PASS,D,2024-2025
Zain Zhao,Arun,ARTS-0558,74,86,88,35,85,-,-,-,-,46,63,7,31,22,-,-,-,57,52,-,1200,455,37.92,PASS,E,2024-2025
Fatima Qureshi,Mr. Arun,COM-0559,-,99,-,6,18,49,43,3,65,16,47,97,36,-,9,18,21,-,87,50,1600,885,55.31,PASS,D,2024-2025
Sarah Chen,M. Praveen,SC-0560,24,4,22,-,-,79,73,-,100,-,25,-,15,5,55,43,-,43,66,-,1300,752,57.85,PASS,D,2024-2025
Emily Baig,Mr. Anil,2024-0561,-,28,2,5,-,43,-,3,-,-,-,89,59,3,83,55,78,-,-,89,1200,666,55.50,PASS,D,2024-2025
Jessica Ali,M. Robert,SCI-0562,12,7,70,-,-,64,-,26,1,52,-,52,-,-,95,55,55,72,20,24,1400,746,53.29,PASS,D,2024-2025
Ahmed Williams,Richard,24-0563,50,-,84,26,46,14,56,14,0,43,48,-,-,-,68,22,0,94,36,14,1600,1038,64.88,PASS,C,2024-2025
Noor Jain,Daniel,COM-0564,6,-,-,-,83,34,79,-,44,-,39,9,62,37,45,87,-,92,60,-,1300,617,47.46,PASS,E,2024-2025
Hafsa Williams,Kamran,SCI-0565,50,-,69,0,36,20,1,-,6,83,55,21,75,87,-,95,-,79,63,77,1600,744,46.50,PASS,E,2024-2025
Fatima Wilson,M. Arun,SCI-0566,-,-,34,86,-,54,-,21,26,-,39,-,68,-,11,95,93,-,66,46,1200,378,31.50,FAIL,F,2024-2025
Emily Shah,Richard,2024-0567,-,-,50,93,99,23,-,-,62,-,-,27,42,9,52,87,-,25,93,72,1300,598,46.00,PASS,E,2024-2025
Aisha Sharma,M. Mohammad,SCI-0568,51,82,34,15,36,67,33,19,74,54,47,26,48,16,28,-,-,99,88,-,1700,524,30.82,FAIL,F,2024-2025
David Mehta,Mr. Manoj,24-0569,-,-,43,85,-,-,100,-,25,71,-,17,45,-,-,-,33,95,19,70,1100,500,45.45,PASS,E,2024-2025
Sadia Khan,Ahmed,24-0570,3,24,48,73,30,-,-,70,27,100,61,96,57,51,95,-,91,35,-,13,1600,643,40.19,PASS,E,2024-2025
Ali Wang,Raj,SC-0571,6,63,88,-,-,-,7,-,94,40,5,74,-,-,-,5,-,13,70,50,1200,765,63.75,PASS,C,2024-2025
Ahmed Jones,M. Hassan,SC-0572,-,66,24,83,45,58,-,48,65,31,62,72,68,93,88,20,4,56,24,12,1800,959,53.28,PASS,D,2024-2025
Sana Wang,Mr. Ashok,COM-0573,5,29,18,91,-,98,21,-,35,27,-,64,52,18,10,59,20,95,82,91,1700,1058,62.24,PASS,C,2024-2025
Robert Reddy,M. Nadeem,COM-0574,14,3,25,36,83,7,52,87,31,71,-,63,19,-,-,59,59,83,33,0,1700,994,58.47,PASS,D,2024-2025
Matthew Gupta,Mr. Michael,SC-0575,75,76,7,80,34,71,-,39,64,-,24,75,14,35,27,-,-,-,60,-,1400,713,50.93,PASS,D,2024-2025
Sarah Zhang,Arun,COM-0576,96,-,91,4,-,98,55,39,-,-,25,18,9,-,-,49,-,45,78,61,1300,406,31.23,FAIL,F,2024-2025
Sarah Garcia,M. Hussain,24-0577,-,85,1,84,9,63,0,31,-,79,-,4,2,87,81,34,80,82,12,71,1700,889,52.29,PASS,D,2024-2025
Thomas Brown,Mr. William,STU-0578,53,31,-,9,53,40,64,88,-,49,75,-,76,54,35,89,25,-,-,64,1500,628,41.87,PASS,E,2024-2025
Zainab Malik,Mr. Richard,2024-0579,-,24,-,-,-,85,46,-,-,81,64,-,24,17,38,44,37,-,43,36,1200,685,57.08,PASS,D,2024-2025
Omar Ahmed,M. Hassan,COM-0580,-,-,85,38,-,54,91,-,-,-,62,58,-,-,84,33,85,-,12,60,1100,476,43.27,PASS,E,2024-2025
Hafsa Jain,Mr. Omar,SCI-0581,50,44,90,56,-,78,89,-,74,19,-,92,4,30,4,27,-,-,39,24,1500,872,58.13,PASS,D,2024-2025
Aisha Huang,Mr. Hassan,2024-0582,31,-,-,-,3,4,32,39,37,63,72,-,45,-,47,15,24,99,7,3,1500,996,66.40,PASS,C,2024-2025
Ali Mirza,M. Ashok,2024-0583,-,99,53,-,-,-,98,99,27,74,-,93,78,-,98,-,56,-,79,74,1200,528,44.00,PASS,E,2024-2025
Zainab Chen,Usman,2024-0584,29,85,59,65,-,33,-,-,34,-,-,94,76,-,13,19,37,85,89,23,1400,473,33.79,PASS,E,2024-2025
Nicole Yang,M. Ahmed,SCI-0585,36,34,88,-,-,100,83,54,75,58,84,-,78,1,60,82,-,-,77,26,1500,644,42.93,PASS,E,2024-2025
Nicole Sharma,M. Manoj,SC-0586,2,-,98,7,8,2,-,99,-,-,-,41,-,59,37,-,72,35,5,-,1200,520,43.33,PASS,E,2024-2025
Noor Baig,Nadeem,SCI-0587,90,16,88,84,36,-,26,69,14,91,10,34,47,18,65,-,25,69,90,25,1800,823,45.72,PASS,E,2024-2025
Jessica Li,Thomas,STU-0588,66,64,36,2,13,63,10,89,97,51,30,23,75,-,85,34,23,2,56,48,1900,769,40.47,PASS,E,2024-2025
Aisha Jones,Anil,COM-0589,10,-,7,42,2,14,-,38,-,47,41,-,-,-,9,23,96,-,41,-,1200,624,52.00,PASS,D,2024-2025
Ali Zhao,Robert,SCI-0590,45,-,-,35,-,78,-,55,61,84,48,0,70,-,17,26,-,31,46,89,1400,748,53.43,PASS,D,2024-2025
Aisha Smith,Sunil,SCI-0591,71,0,55,78,-,51,41,37,-,7,59,64,53,22,37,-,20,-,-,-,1400,600,42.86,PASS,E,2024-2025
Mohammad Mehta,William,COM-0592,52,44,63,22,-,-,-,3,64,13,-,-,53,34,93,92,73,12,24,-,1400,544,38.86,PASS,E,2024-2025
Hussain Smith,Mr. Usman,SC-0593,40,82,-,-,53,-,68,-,91,-,12,-,-,-,88,89,-,-,69,-,900,397,44.11,PASS,E,2024-2025
Emily Wang,Mohammad,SCI-0594,-,12,58,-,26,90,-,51,38,73,82,73,81,-,16,73,10,28,21,-,1500,770,51.33,PASS,D,2024-2025
Elizabeth Raza,Mr. David,ARTS-0595,-,94,12,-,2,78,-,19,-,-,-,60,90,-,11,48,38,19,45,-,1200,570,47.50,PASS,E,2024-2025
Maryam Wilson,M. Omar,2024-0596,-,51,77,20,8,8,12,79,23,94,37,-,51,-,2,0,47,96,29,6,1700,785,46.18,PASS,E,2024-2025
Thomas Zhang,M. Joseph,2024-0597,43,42,55,62,75,59,69,-,56,6,79,-,91,18,43,0,17,12,44,63,1800,827,45.94,PASS,E,2024-2025
Ahmed Zhao,Mr. Hussain,ARTS-0598,44,-,60,99,64,-,22,77,-,31,93,88,63,9,8,-,-,-,-,75,1300,755,58.08,PASS,D,2024-2025
Usman Raza,M. Charles,24-0599,-,58,5,82,30,69,30,47,-,14,-,8,33,97,2,28,-,81,60,-,1500,946,63.07,PASS,C,2024-2025
Noor Williams,James,SCI-0600,-,92,12,-,68,40,18,35,-,48,90,-,50,49,-,36,-,95,84,88,1400,579,41.36,PASS,E,2024-2025
Hussain Davis,M. Arun,COM-0601,80,-,18,19,-,-,25,79,19,80,52,-,76,65,75,-,-,8,-,-,1200,544,45.33,PASS,E,2024-2025
Aisha Wilson,Mr. Ali,2024-0602,90,37,19,-,25,72,1,40,-,-,53,62,70,68,96,88,81,72,84,-,1600,968,60.50,PASS,C,2024-2025
Nicole Miller,Mr. Richard,STU-0603,3,-,-,45,90,64,8,54,61,80,24,85,78,19,96,48,80,52,30,92,1800,570,31.67,FAIL,F,2024-2025
Charles Brown,M. Hassan,SCI-0604,43,37,37,-,64,18,14,35,9,93,12,20,-,69,86,95,30,39,-,60,1700,906,53.29,PASS,D,2024-2025
James Zhang,Praveen,2024-0605,80,42,2,33,76,-,20,-,26,64,-,99,26,22,54,-,-,28,27,44,1500,755,50.33,PASS,D,2024-2025
Robert Miller,M. Raj,24-0606,54,22,-,53,48,74,-,21,-,85,20,33,51,3,46,-,-,54,-,12,1400,507,36.21,PASS,E,2024-2025
Sarah Wu,M. Richard,24-0607,31,36,45,49,76,74,33,-,43,2,46,1,59,-,38,53,39,32,100,69,1800,692,38.44,PASS,E,2024-2025
Jennifer Davis,Mr. Ali,COM-0608,-,94,88,29,40,69,77,88,57,73,-,15,-,21,-,16,19,60,92,-,1500,743,49.53,PASS,E,2024-2025
Omar Jones,M. Usman,SC-0609,85,18,5,-,87,34,-,-,-,3,-,-,51,86,14,-,37,89,25,24,1300,553,42.54,PASS,E,2024-2025
Ahmed Raza,Mr. Richard,ARTS-0610,89,13,-,10,46,53,33,52,38,90,-,-,29,4,-,-,-,70,-,60,1300,742,57.08,PASS,D,2024-2025
Hafsa Gupta,M. Robert,STU-0611,-,36,58,29,89,15,65,33,94,-,34,49,-,63,-,24,75,-,42,3,1500,659,43.93,PASS,E,2024-2025
Emily Yang,Mr. Hussain,2024-0612,-,63,48,49,35,19,93,70,-,-,-,48,97,-,-,69,-,9,88,15,1300,635,48.85,PASS,E,2024-2025
